School Number,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number
6702006,Brynmill School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Trafalgar Place,Brynmill,Swansea,,SA2 0BU,01792 463019
6702008,Cadle Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Middle Road,Fforestfach,Swansea,,SA5 5DU,01792 584498
6702014,Cwmrhydyceirw Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Maes y Gwernen Road,Morriston,Swansea,,SA6 6LL,01792 771524
6702017,Danygraig Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ysgol Street,Port Tennant,Swansea,,SA1 8LE,01792 650946
6702021,Gendros Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Armine Road,Fforestfach,Swansea,,SA5 8DB,01792 586570
6702023,Glais Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Road,Glais,Swansea,,SA7 9EY,01792 842627
6702027,Grange Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,West Cross Avenue,West Cross,Swansea,,SA3 5TS,01792 404766
6702032,Hafod Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Odo Street,Hafod,Swansea,,SA1 2LT,01792 461356
6702036,Ysgol Gymraeg Lon Las,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Walters Road,Llansamlet,Abertawe,,SA7 9RW,01792 771160
6702040,Morriston Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Neath Road,Morriston,Swansea,,SA6 8EF,01792 781811
6702042,Oystermouth Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Newton Road,Mumbles,Swansea,,SA3 4BE,01792 369233
6702048,Pentrechwyth Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Bonymaen Road,Pentrechwyth,Swansea,,SA1 7AP,01792 653186
6702051,Plasmarl Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Britannia Road,Plasmarl,Swansea,,SA6 8LH,01792 798210
6702054,Sketty Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llwyn Mawr Road,Sketty,Swansea,,SA2 9HD,01792 206655
6702055,St Helen's Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Vincent Street,Swansea,,,SA1 3TY,01792 655763
6702059,Terrace Road Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Terrace Road,Mount Pleasant,Swansea,,SA1 6JD,01792 654257
6702063,Townhill Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Townhill Road,Townhill,Swansea,,SA1 6PT,01792 516370
6702065,Waunarlwydd Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Brithwen Road,Waunarlwydd,Swansea,,SA5 4QS,01792 872431
6702067,Waun Wen School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Lion Street,Waun Wen,Swansea,,SA1 2BZ,01792 651010
6702069,Clwyd Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Eppynt Road,Penlan,Swansea,,SA5 7AZ,01792 588673
6702071,Ynystawe Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Clydach Road,Ynystawe,Swansea,,SA6 5AY,01792 842628
6702073,Clase Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Rheidol Avenue,Clase,Swansea,,SA6 7JX,01792 781747
6702075,Portmead Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Cheriton Crescent,Portmead,Swansea,,SA5 5LA,01792 583549
6702076,Mayals Primary,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Fairwood Road,West Cross,Swansea,,SA3 5JP,01792 402755
6702077,Cwmglas Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Colwyn Avenue,Winchwen,Swansea,,SA1 7EN,01792 771693
6702082,Blaenymaes Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Broughton Avenue,Blaenymaes,Swansea,,SA5 5LW,01792 583366
6702084,Trallwn Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Glanywern Road,Trallwn,Swansea,,SA7 9UJ,01792 792478
6702086,Parkland Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Sketty Park Drive,Sketty,Swansea,,SA2 8NG,01792 205462
6702092,Newton Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Slade Road,Newton,Swansea,,SA3 4UE,01792 369826
6702095,Whitestone Primary,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Off Rushwind Close,West Cross,Swansea,,SA3 5RF,01792 404113
6702096,Hendrefoilan Primary,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Dunvant Road,Dunvant,Swansea,,SA2 7LF,01792 290223
6702098,Y.G.G. Brynymor,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Heol St Alban,Brynmill,Abertawe,,SA2 0BP,01792 466354
6702105,Bishopston Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Bishopston Road,Bishopston,Swansea,,SA3 3EN,01792 232754
6702108,Casllwchwr Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Castle Street,Loughor,Swansea,,SA4 6TU,01792 892420
6702109,Cila Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,577 Gower Road,Upper Killay,Swansea,,SA2 7DR,01792 202775
6702120,Crwys Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Chapel Road,Three Crosses,Swansea,,SA4 3PU,01792 872473
6702157,Llangyfelach Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pengors Road,Llangyfelach,Swansea,,SA5 7JE,01792 771497
6702159,Llanrhidian Primary,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llanrhidian,Gower,Swansea,,SA3 1EH,01792 390181
6702167,Penclawdd Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Park Road,Penclawdd,Swansea,,SA4 3FH,01792 850239
6702172,Pengelli Primary,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Station Road,Grovesend,Swansea,,SA4 4GY,01792 892736
6702174,Penllergaer Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pontardulais Road,Penllergaer,Swansea,,SA4 9DB,01792 892354
6702176,Penyrheol Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Frampton Road,Gorseinon,Swansea,,SA4 4YG,01792 892337
6702186,Pontarddulais Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Upper James Street,Pontarddulais,Swansea,,SA4 8JD,01792 882383
6702189,Y.G.G. Bryniago,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Lower James Street,Pontarddulais,Swansea,,SA4 8JA,01792 882012
6702192,Pontlliw Primary,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Clordir Road,Pontlliw,Pontarddulais,,SA4 9FA,01792 882553
6702211,Tre Uchaf Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Cae Ty Newydd,Loughor,Swansea,,SA4 6QB,01792 893682
6702212,Y.G.G. Pontybrenin,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Loughor Road,Gorseinon,Swansea,,SA4 6AU,01792 894210
6702215,Craigfelen Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Woodside Crescent,Clydach,Swansea,,SA6 5DP,01792 843278
6702216,Pennard Primary,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pennard Road,Pennard,Swansea,,SA3 2AD,01792 233343
6702217,Knelston Primary,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Reynoldston,Gower,Swansea,,SA3 1AR,01792 390071
6702219,Pen-Y-Fro,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Priors Crescent,Dunvant,Swansea,,SA2 7UF,01792 203728
6702223,Pontybrenin Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Glyn Rhosyn,Gorseinon,Swansea,,SA4 6HX,01792 891151
6702225,Talycopa Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Hafdy,Llansamlet,Swansea,,SA7 9RZ,01792 793660
6702226,Glyncollen Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Dolfain,Ynysforgan,Swansea,,SA6 6QF,01792 791727
